-----REACTION-SOLUTIONS-----
Condition-1
Node    |    F_X(t)  |    F_Y(t)  |    F_Z(t)  |    M_X(t.m)|    M_Y(t.m)|    M_Z(t.m)
    517.|       15.33|        0.44|       51.68|        0.00|        0.00|        0.00
    613.|      -13.60|        5.78|       53.18|        0.00|        0.00|        0.00
    303.|       10.96|      -20.68|       -0.11|        0.00|        0.00|        0.00
    227.|      -12.71|      -46.45|        0.06|        0.00|        0.00|        0.00
      1.|       -0.79|      105.61|      174.19|        0.00|        0.00|        0.00
    100.|        0.81|      104.30|      172.05|        0.00|        0.00|        0.00
    166.|      -23.41|        0.00|        0.00|        0.00|        0.00|        0.00
    140.|      -48.15|        0.00|        0.00|        0.00|        0.00|        0.00
     20.|      203.10|        0.00|        0.00|        0.00|        0.00|        0.00
     70.|      200.57|        0.00|        0.00|        0.00|        0.00|        0.00
  10001.|        5.70|        0.00|        0.00|        0.00|        0.00|        0.00
  10002.|       -3.80|        0.00|        0.00|        0.00|        0.00|        0.00
  10003.|        1.02|        0.00|        0.00|        0.00|        0.00|        0.00
  10004.|       -2.24|        0.00|        0.00|        0.00|        0.00|        0.00
  10005.|        0.82|        0.00|        0.00|        0.00|        0.00|        0.00
  10006.|      -11.04|        0.00|        0.00|        0.00|        0.00|        0.00
  10007.|       92.03|        0.00|        0.00|        0.00|        0.00|        0.00
  10008.|        0.00|        0.00|        0.00|        0.00|        0.00|        0.00
  10009.|      119.48|        0.00|        0.00|        0.00|        0.00|        0.00
  10010.|       47.22|        0.00|        0.00|        0.00|        0.00|        0.00
  10011.|       51.35|        0.00|        0.00|        0.00|        0.00|        0.00
  10012.|        0.04|        0.00|        0.00|        0.00|        0.00|        0.00
Condition-2
Node    |    F_X(t)  |    F_Y(t)  |    F_Z(t)  |    M_X(t.m)|    M_Y(t.m)|    M_Z(t.m)
    517.|       -2.05|      -95.50|       50.82|        0.00|        0.00|        0.00
    613.|      -39.67|       48.62|       54.31|        0.00|        0.00|        0.00
    303.|      -31.21|       59.06|       -0.25|        0.00|        0.00|        0.00
    227.|      -32.08|     -116.69|       -0.03|        0.00|        0.00|        0.00
      1.|       -1.23|      106.64|      175.92|        0.00|        0.00|        0.00
    100.|        0.86|      103.24|      170.28|        0.00|        0.00|        0.00
    166.|       66.80|        0.00|        0.00|        0.00|        0.00|        0.00
    140.|     -121.02|        0.00|        0.00|        0.00|        0.00|        0.00
     20.|      205.12|        0.00|        0.00|        0.00|        0.00|        0.00
     70.|      198.51|        0.00|        0.00|        0.00|        0.00|        0.00
  10001.|       12.69|        0.00|        0.00|        0.00|        0.00|        0.00
  10002.|       -2.10|        0.00|        0.00|        0.00|        0.00|        0.00
  10003.|        1.53|        0.00|        0.00|        0.00|        0.00|        0.00
  10004.|       -2.19|        0.00|        0.00|        0.00|        0.00|        0.00
  10005.|        1.05|        0.00|        0.00|        0.00|        0.00|        0.00
  10006.|      -12.72|        0.00|        0.00|        0.00|        0.00|        0.00
  10007.|      128.35|        0.00|        0.00|        0.00|        0.00|        0.00
  10008.|        0.00|        0.00|        0.00|        0.00|        0.00|        0.00
  10009.|      139.99|        0.00|        0.00|        0.00|        0.00|        0.00
  10010.|       30.28|        0.00|        0.00|        0.00|        0.00|        0.00
  10011.|      101.90|        0.00|        0.00|        0.00|        0.00|        0.00
  10012.|        0.00|        0.00|        0.00|        0.00|        0.00|        0.00
Condition-3
Node    |    F_X(t)  |    F_Y(t)  |    F_Z(t)  |    M_X(t.m)|    M_Y(t.m)|    M_Z(t.m)
    517.|       -7.89|     -177.42|       50.45|        0.00|        0.00|        0.00
    613.|      -51.82|       25.47|       54.77|        0.00|        0.00|        0.00
    303.|      -47.86|       90.63|       -0.30|        0.00|        0.00|        0.00
    227.|      -40.89|     -148.56|       -0.06|        0.00|        0.00|        0.00
      1.|       -1.40|      107.07|      176.64|        0.00|        0.00|        0.00
    100.|        0.87|      102.81|      169.55|        0.00|        0.00|        0.00
    166.|      102.49|        0.00|        0.00|        0.00|        0.00|        0.00
    140.|     -154.08|        0.00|        0.00|        0.00|        0.00|        0.00
     20.|      205.96|        0.00|        0.00|        0.00|        0.00|        0.00
     70.|      197.66|        0.00|        0.00|        0.00|        0.00|        0.00
  10001.|       15.44|        0.00|        0.00|        0.00|        0.00|        0.00
  10002.|       -2.25|        0.00|        0.00|        0.00|        0.00|        0.00
  10003.|        1.73|        0.00|        0.00|        0.00|        0.00|        0.00
  10004.|       -1.80|        0.00|        0.00|        0.00|        0.00|        0.00
  10005.|        1.12|        0.00|        0.00|        0.00|        0.00|        0.00
  10006.|      -13.58|        0.00|        0.00|        0.00|        0.00|        0.00
  10007.|      148.46|        0.00|        0.00|        0.00|        0.00|        0.00
  10008.|        0.00|        0.00|        0.00|        0.00|        0.00|        0.00
  10009.|      147.92|        0.00|        0.00|        0.00|        0.00|        0.00
  10010.|       23.04|        0.00|        0.00|        0.00|        0.00|        0.00
  10011.|      127.42|        0.00|        0.00|        0.00|        0.00|        0.00
  10012.|       16.32|        0.00|        0.00|        0.00|        0.00|        0.00
Condition-4
Node    |    F_X(t)  |    F_Y(t)  |    F_Z(t)  |    M_X(t.m)|    M_Y(t.m)|    M_Z(t.m)
    517.|        1.78|     -197.32|       50.80|        0.00|        0.00|        0.00
    613.|      -43.52|      -50.09|       54.30|        0.00|        0.00|        0.00
    303.|      -29.28|       55.55|       -0.23|        0.00|        0.00|        0.00
    227.|      -33.98|     -123.39|       -0.01|        0.00|        0.00|        0.00
      1.|       -1.20|      106.64|      175.91|        0.00|        0.00|        0.00
    100.|        0.83|      103.25|      170.28|        0.00|        0.00|        0.00
    166.|       62.79|        0.00|        0.00|        0.00|        0.00|        0.00
    140.|     -127.99|        0.00|        0.00|        0.00|        0.00|        0.00
     20.|      205.12|        0.00|        0.00|        0.00|        0.00|        0.00
     70.|      198.51|        0.00|        0.00|        0.00|        0.00|        0.00
  10001.|       12.45|        0.00|        0.00|        0.00|        0.00|        0.00
  10002.|       -1.99|        0.00|        0.00|        0.00|        0.00|        0.00
  10003.|        1.49|        0.00|        0.00|        0.00|        0.00|        0.00
  10004.|       -1.49|        0.00|        0.00|        0.00|        0.00|        0.00
  10005.|        1.00|        0.00|        0.00|        0.00|        0.00|        0.00
  10006.|      -12.94|        0.00|        0.00|        0.00|        0.00|        0.00
  10007.|      135.62|        0.00|        0.00|        0.00|        0.00|        0.00
  10008.|        0.00|        0.00|        0.00|        0.00|        0.00|        0.00
  10009.|      138.77|        0.00|        0.00|        0.00|        0.00|        0.00
  10010.|       31.50|        0.00|        0.00|        0.00|        0.00|        0.00
  10011.|      108.18|        0.00|        0.00|        0.00|        0.00|        0.00
  10012.|        0.19|        0.00|        0.00|        0.00|        0.00|        0.00
Condition-5
Node    |    F_X(t)  |    F_Y(t)  |    F_Z(t)  |    M_X(t.m)|    M_Y(t.m)|    M_Z(t.m)
    517.|       20.74|     -143.53|       51.67|        0.00|        0.00|        0.00
    613.|      -19.05|     -133.80|       53.17|        0.00|        0.00|        0.00
    303.|       13.69|      -25.66|       -0.09|        0.00|        0.00|        0.00
    227.|      -15.40|      -55.92|        0.08|        0.00|        0.00|        0.00
      1.|       -0.75|      105.61|      174.17|        0.00|        0.00|        0.00
    100.|        0.77|      104.30|      172.04|        0.00|        0.00|        0.00
    166.|      -29.08|        0.00|        0.00|        0.00|        0.00|        0.00
    140.|      -58.00|        0.00|        0.00|        0.00|        0.00|        0.00
     20.|      203.09|        0.00|        0.00|        0.00|        0.00|        0.00
     70.|      200.56|        0.00|        0.00|        0.00|        0.00|        0.00
  10001.|        5.42|        0.00|        0.00|        0.00|        0.00|        0.00
  10002.|       -3.43|        0.00|        0.00|        0.00|        0.00|        0.00
  10003.|        1.13|        0.00|        0.00|        0.00|        0.00|        0.00
  10004.|       -0.96|        0.00|        0.00|        0.00|        0.00|        0.00
  10005.|        0.75|        0.00|        0.00|        0.00|        0.00|        0.00
  10006.|      -11.27|        0.00|        0.00|        0.00|        0.00|        0.00
  10007.|      102.16|        0.00|        0.00|        0.00|        0.00|        0.00
  10008.|        0.00|        0.00|        0.00|        0.00|        0.00|        0.00
  10009.|      117.74|        0.00|        0.00|        0.00|        0.00|        0.00
  10010.|       48.95|        0.00|        0.00|        0.00|        0.00|        0.00
  10011.|       55.90|        0.00|        0.00|        0.00|        0.00|        0.00
  10012.|        0.03|        0.00|        0.00|        0.00|        0.00|        0.00
Condition-6
Node    |    F_X(t)  |    F_Y(t)  |    F_Z(t)  |    M_X(t.m)|    M_Y(t.m)|    M_Z(t.m)
    517.|       44.21|      -37.94|       52.63|        0.00|        0.00|        0.00
    613.|        0.33|     -162.07|       52.30|        0.00|        0.00|        0.00
    303.|       60.66|     -114.41|       -0.13|        0.00|        0.00|        0.00
    227.|       -0.23|       -0.86|        0.05|        0.00|        0.00|        0.00
      1.|       -0.61|      104.69|      172.61|        0.00|        0.00|        0.00
    100.|        1.02|      105.21|      173.58|        0.00|        0.00|        0.00
    166.|     -129.50|        0.00|        0.00|        0.00|        0.00|        0.00
    140.|       -0.89|        0.00|        0.00|        0.00|        0.00|        0.00
     20.|      201.28|        0.00|        0.00|        0.00|        0.00|        0.00
     70.|      202.35|        0.00|        0.00|        0.00|        0.00|        0.00
  10001.|        1.87|        0.00|        0.00|        0.00|        0.00|        0.00
  10002.|       -9.05|        0.00|        0.00|        0.00|        0.00|        0.00
  10003.|        1.37|        0.00|        0.00|        0.00|        0.00|        0.00
  10004.|       -1.37|        0.00|        0.00|        0.00|        0.00|        0.00
  10005.|        0.93|        0.00|        0.00|        0.00|        0.00|        0.00
  10006.|      -11.87|        0.00|        0.00|        0.00|        0.00|        0.00
  10007.|      133.91|        0.00|        0.00|        0.00|        0.00|        0.00
  10008.|        0.00|        0.00|        0.00|        0.00|        0.00|        0.00
