-----REACTION-SOLUTIONS-----
Condition-1
Node    |    F_X(t)  |    F_Y(t)  |    F_Z(t)  |    M_X(t.m)|    M_Y(t.m)|    M_Z(t.m)
    265.|       12.12|       -0.37|      122.97|        0.00|        0.00|        0.00
    329.|       47.39|       79.42|      125.41|        0.00|        0.00|        0.00
    215.|      -20.56|        5.89|       56.81|        0.00|        0.00|        0.00
    279.|      -38.94|       14.05|       54.37|        0.00|        0.00|        0.00
  10001.|        2.25|        0.00|        0.00|        0.00|        0.00|        0.00
  10002.|       -2.25|        0.00|        0.00|        0.00|        0.00|        0.00
  10003.|        1.92|        0.00|        0.00|        0.00|        0.00|        0.00
  10004.|      -14.41|        0.00|        0.00|        0.00|        0.00|        0.00
  10005.|        0.77|        0.00|        0.00|        0.00|        0.00|        0.00
  10006.|      -10.07|        0.00|        0.00|        0.00|        0.00|        0.00
  10007.|      197.13|        0.00|        0.00|        0.00|        0.00|        0.00
  10008.|        0.13|        0.00|        0.00|        0.00|        0.00|        0.00
Condition-2
Node    |    F_X(t)  |    F_Y(t)  |    F_Z(t)  |    M_X(t.m)|    M_Y(t.m)|    M_Z(t.m)
    265.|       -4.58|       -8.42|      123.44|        0.00|        0.00|        0.00
    329.|       15.64|       64.90|      124.94|        0.00|        0.00|        0.00
    215.|      -33.18|        2.53|       56.34|        0.00|        0.00|        0.00
    279.|      -47.90|       11.00|       54.84|        0.00|        0.00|        0.00
  10001.|        2.06|        0.00|        0.00|        0.00|        0.00|        0.00
  10002.|       -2.06|        0.00|        0.00|        0.00|        0.00|        0.00
  10003.|        1.74|        0.00|        0.00|        0.00|        0.00|        0.00
  10004.|      -10.95|        0.00|        0.00|        0.00|        0.00|        0.00
  10005.|        0.70|        0.00|        0.00|        0.00|        0.00|        0.00
  10006.|       -9.72|        0.00|        0.00|        0.00|        0.00|        0.00
  10007.|      182.70|        0.00|        0.00|        0.00|        0.00|        0.00
  10008.|        0.01|        0.00|        0.00|        0.00|        0.00|        0.00
Condition-3
Node    |    F_X(t)  |    F_Y(t)  |    F_Z(t)  |    M_X(t.m)|    M_Y(t.m)|    M_Z(t.m)
    265.|        2.56|      -29.34|      124.58|        0.00|        0.00|        0.00
    329.|      -13.59|       31.27|      123.80|        0.00|        0.00|        0.00
    215.|      -41.04|       -4.95|       55.20|        0.00|        0.00|        0.00
    279.|      -46.93|        3.02|       55.98|        0.00|        0.00|        0.00
  10001.|        1.61|        0.00|        0.00|        0.00|        0.00|        0.00
  10002.|       -1.61|        0.00|        0.00|        0.00|        0.00|        0.00
  10003.|        4.24|        0.00|        0.00|        0.00|        0.00|        0.00
  10004.|       -2.71|        0.00|        0.00|        0.00|        0.00|        0.00
  10005.|        0.54|        0.00|        0.00|        0.00|        0.00|        0.00
  10006.|       -9.19|        0.00|        0.00|        0.00|        0.00|        0.00
  10007.|      149.60|        0.00|        0.00|        0.00|        0.00|        0.00
  10008.|        0.00|        0.00|        0.00|        0.00|        0.00|        0.00
Condition-4
Node    |    F_X(t)  |    F_Y(t)  |    F_Z(t)  |    M_X(t.m)|    M_Y(t.m)|    M_Z(t.m)
    265.|       31.79|      -62.96|      125.72|        0.00|        0.00|        0.00
    329.|      -20.73|       10.35|      122.67|        0.00|        0.00|        0.00
    215.|      -42.01|      -12.94|       54.06|        0.00|        0.00|        0.00
    279.|      -39.07|       -4.47|       57.11|        0.00|        0.00|        0.00
  10001.|        2.08|        0.00|        0.00|        0.00|        0.00|        0.00
  10002.|       -2.08|        0.00|        0.00|        0.00|        0.00|        0.00
  10003.|       12.51|        0.00|        0.00|        0.00|        0.00|        0.00
  10004.|       -1.75|        0.00|        0.00|        0.00|        0.00|        0.00
  10005.|        0.70|        0.00|        0.00|        0.00|        0.00|        0.00
  10006.|       -9.81|        0.00|        0.00|        0.00|        0.00|        0.00
  10007.|      190.79|        0.00|        0.00|        0.00|        0.00|        0.00
  10008.|        0.09|        0.00|        0.00|        0.00|        0.00|        0.00
Condition-5
Node    |    F_X(t)  |    F_Y(t)  |    F_Z(t)  |    M_X(t.m)|    M_Y(t.m)|    M_Z(t.m)
    265.|       63.54|      -77.49|      126.19|        0.00|        0.00|        0.00
    329.|       -4.03|        2.30|      122.19|        0.00|        0.00|        0.00
    215.|      -33.05|      -15.99|       53.59|        0.00|        0.00|        0.00
    279.|      -26.45|       -7.83|       57.58|        0.00|        0.00|        0.00
  10001.|        2.27|        0.00|        0.00|        0.00|        0.00|        0.00
  10002.|       -2.27|        0.00|        0.00|        0.00|        0.00|        0.00
  10003.|       15.98|        0.00|        0.00|        0.00|        0.00|        0.00
  10004.|       -1.93|        0.00|        0.00|        0.00|        0.00|        0.00
  10005.|        0.77|        0.00|        0.00|        0.00|        0.00|        0.00
  10006.|      -10.16|        0.00|        0.00|        0.00|        0.00|        0.00
  10007.|      205.22|        0.00|        0.00|        0.00|        0.00|        0.00
  10008.|        0.00|        0.00|        0.00|        0.00|        0.00|        0.00
Condition-6
Node    |    F_X(t)  |    F_Y(t)  |    F_Z(t)  |    M_X(t.m)|    M_Y(t.m)|    M_Z(t.m)
    265.|       80.91|      -65.08|      125.72|        0.00|        0.00|        0.00
    329.|       28.40|       12.47|      122.67|        0.00|        0.00|        0.00
    215.|      -21.12|      -12.48|       54.06|        0.00|        0.00|        0.00
    279.|      -18.17|       -4.93|       57.11|        0.00|        0.00|        0.00
  10001.|        2.05|        0.00|        0.00|        0.00|        0.00|        0.00
  10002.|       -2.05|        0.00|        0.00|        0.00|        0.00|        0.00
  10003.|       12.51|        0.00|        0.00|        0.00|        0.00|        0.00
  10004.|       -1.77|        0.00|        0.00|        0.00|        0.00|        0.00
  10005.|        0.71|        0.00|        0.00|        0.00|        0.00|        0.00
  10006.|       -9.97|        0.00|        0.00|        0.00|        0.00|        0.00
  10007.|      185.52|        0.00|        0.00|        0.00|        0.00|        0.00
  10008.|        0.06|        0.00|        0.00|        0.00|        0.00|        0.00
Condition-7
Node    |    F_X(t)  |    F_Y(t)  |    F_Z(t)  |    M_X(t.m)|    M_Y(t.m)|    M_Z(t.m)
    265.|       72.02|      -32.34|      124.58|        0.00|        0.00|        0.00
    329.|       55.87|       34.27|      123.80|        0.00|        0.00|        0.00
    215.|      -11.50|       -4.30|       55.20|        0.00|        0.00|        0.00
    279.|      -17.39|        2.36|       55.98|        0.00|        0.00|        0.00
  10001.|        1.56|        0.00|        0.00|        0.00|        0.00|        0.00
  10002.|       -1.56|        0.00|        0.00|        0.00|        0.00|        0.00
  10003.|        4.18|        0.00|        0.00|        0.00|        0.00|        0.00
  10004.|       -2.64|        0.00|        0.00|        0.00|        0.00|        0.00
  10005.|        0.55|        0.00|        0.00|        0.00|        0.00|        0.00
  10006.|       -9.42|        0.00|        0.00|        0.00|        0.00|        0.00
  10007.|      142.15|        0.00|        0.00|        0.00|        0.00|        0.00
  10008.|        0.03|        0.00|        0.00|        0.00|        0.00|        0.00
Condition-8
Node    |    F_X(t)  |    F_Y(t)  |    F_Z(t)  |    M_X(t.m)|    M_Y(t.m)|    M_Z(t.m)
    265.|       44.55|      -10.54|      123.44|        0.00|        0.00|        0.00
    329.|       64.76|       67.02|      124.94|        0.00|        0.00|        0.00
    215.|      -12.29|        3.00|       56.34|        0.00|        0.00|        0.00
    279.|      -27.01|       10.54|       54.84|        0.00|        0.00|        0.00
